,(road Toronto Mississauga),,cost of distance (USD),first estimate (USD) LB,first estimate (USD) UB,second estimate (USD) LB,second estimate (USD) UB,,USD/km,USD/min,min/km (100 km/hour),min/km (20 km/hour)
optimistic (minutes),24,,,,,,,,0.56,0.5,0.6,3
passimistic (minutes),50,,,,,,,,,,,
distance (km),,27.5,15,24,57,27,40,,,,,
,(road Mississauga Toronto),,,,,,,,,,,
optimistic (minutes),28,,,,,,,,,,,
passimistic (minutes),60,,,,,,,,,,,
distance (km),,28.1,16,24,58,30,46,,,,,
,(road Toronto Barrie),,,,,,,,,,,
optimistic (minutes),65,,,,,,,,,,,
passimistic (minutes),100,,,,,,,,,,,
distance (km),,110.1,62,95,227,94,112,,,,,
,(road Barrie Toronto),,,,,,,,,,,
optimistic (minutes),65,,,,,,,,,,,
passimistic (minutes),100,,,,,,,,,,,
distance (km),,110.6,62,95,228,94,112,,,,,
,(road Mississauga Barrie),,,,,,,,,,,
optimistic (minutes),60,,,,,,,,,,,
passimistic (minutes),75,,,,,,,,,,,
distance (km),,103.5,58,89,213,88,95,,,,,
,(road Barrie Mississauga),,,,,,,,,,,
optimistic (minutes),60,,,,,,,,,,,
passimistic (minutes),80,,,,,,,,,,,
distance (km),,102,57,88,210,87,97,,,,,
,(road Barrie Kitchener),,,,,,,,,,,
optimistic (minutes),90,,,,,,,,,,,
passimistic (minutes),120,,,,,,,,,,,
distance (km),,167.8,94,144,346,139,154,,,,,
,(road Kitchener Barrie),,,,,,,,,,,
optimistic (minutes),90,,,,,,,,,,,
passimistic (minutes),130,,,,,,,,,,,
distance (km),,168.3,94,145,347,139,159,,,,,
,(road Mississauga Kitchener),,,,,,,,,,,
optimistic (minutes),55,,,,,,,,,,,
passimistic (minutes),70,,,,,,,,,,,
distance (km),,85.2,48,73,176,75,83,,,,,
,(road Kitchener Mississauga),,,,,,,,,,,
optimistic (minutes),50,,,,,,,,,,,
passimistic (minutes),70,,,,,,,,,,,
distance (km),,83.7,47,72,172,72,82,,,,,
,(road Mississauga Hamilton),,,,,,,,,,,
optimistic (minutes),30,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,47.9,27,41,99,42,49,,,,,
,(road Hamilton Mississauga),,,,,,,,,,,
optimistic (minutes),30,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,47.8,27,41,98,42,49,,,,,
,(road Hamilton Kitchener),,,,,,,,,,,
optimistic (minutes),50,,,,,,,,,,,
passimistic (minutes),80,,,,,,,,,,,
distance (km),,65.7,37,57,135,62,77,,,,,
,(road Kitchener Hamilton),,,,,,,,,,,
optimistic (minutes),45,,,,,,,,,,,
passimistic (minutes),70,,,,,,,,,,,
distance (km),,64.6,36,56,133,59,71,,,,,
,(road Hamilton Brantford),,,,,,,,,,,
optimistic (minutes),28,,,,,,,,,,,
passimistic (minutes),50,,,,,,,,,,,
distance (km),,40.8,23,35,84,37,48,,,,,
,(road Brantford Hamilton),,,,,,,,,,,
optimistic (minutes),28,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,40.7,23,35,84,37,45,,,,,
,(road Brantford Kitchener),,,,,,,,,,,
optimistic (minutes),45,,,,,,,,,,,
passimistic (minutes),80,,,,,,,,,,,
distance (km),,52.2,29,45,108,52,69,,,,,
,(road Kitchener Brantford),,,,,,,,,,,
optimistic (minutes),45,,,,,,,,,,,
passimistic (minutes),80,,,,,,,,,,,
distance (km),,47.6,27,41,98,49,67,,,,,
,(road Brantford Woodstock),,,,,,,,,,,
optimistic (minutes),28,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,44.2,25,38,91,39,47,,,,,
,(road Woodstock Brantford),,,,,,,,,,,
optimistic (minutes),30,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,44.3,25,38,91,40,47,,,,,
,(road Kitchener Woodstock),,,,,,,,,,,
optimistic (minutes),40,,,,,,,,,,,
passimistic (minutes),60,,,,,,,,,,,
distance (km),,56.2,31,48,116,51,61,,,,,
,(road Woodstock Kitchener),,,,,,,,,,,
optimistic (minutes),40,,,,,,,,,,,
passimistic (minutes),65,,,,,,,,,,,
distance (km),,57.8,32,50,119,52,65,,,,,
,(road Kitchener Stratford),,,,,,,,,,,
optimistic (minutes),40,,,,,,,,,,,
passimistic (minutes),60,,,,,,,,,,,
distance (km),,50.6,28,44,104,48,58,,,,,
,(road Stratford Kitchener),,,,,,,,,,,
optimistic (minutes),40,,,,,,,,,,,
passimistic (minutes),60,,,,,,,,,,,
distance (km),,49.6,28,43,102,48,58,,,,,
,(road Stratford Woodstock),,,,,,,,,,,
optimistic (minutes),35,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,37.6,21,32,77,39,44,,,,,
,(road Woodstock Stratford),,,,,,,,,,,
optimistic (minutes),30,,,,,,,,,,,
passimistic (minutes),45,,,,,,,,,,,
distance (km),,37.7,21,32,78,36,44,,,,,
,(road Stratford London),,,,,,,,,,,
optimistic (minutes),50,,,,,,,,,,,
passimistic (minutes),75,,,,,,,,,,,
distance (km),,60.7,34,52,125,59,71,,,,,
,(road London Stratford),,,,,,,,,,,
optimistic (minutes),50,,,,,,,,,,,
passimistic (minutes),75,,,,,,,,,,,
distance (km),,60.6,34,52,125,59,71,,,,,
,(road London Woodstock),,,,,,,,,,,
optimistic (minutes),35,,,,,,,,,,,
passimistic (minutes),60,,,,,,,,,,,
distance (km),,55.2,31,47,114,48,61,,,,,
,(road Woodstock London),,,,,,,,,,,
optimistic (minutes),35,,,,,,,,,,,
passimistic (minutes),60,,,,,,,,,,,
distance (km),,54.4,30,47,112,48,60,,,,,
